Electoral_Dist,Year,Poll_Div,Poll_Station,Poll_Road,Poll_Location ,Census_Poll_Location,PNM,UNC,COP,TOP,STAR,NNV,John_IND,Rejected_Ballots,Tot_Ballots_Cast,Registered_Voters
Tobago East,2010,,St. Edwards Anglican Primary School,,Belle Garden,BELLE GARDEN,120,0,0,136,,,,,,
Tobago East,2010,,St. Edwards Anglican Primary School,,Belle Garden,BELLE GARDEN,112,0,0,145,,,,,,
Laventille West,2010,,Escallier AC School,,Belmont,BELMONT,204,0,42,0,,,,,,
Laventille West,2010,,Escallier AC School,,Belmont,BELMONT,220,0,57,0,,,,,,
Laventille West,2010,,Escallier AC School,,Belmont,BELMONT,141,0,60,0,,,,,,
Laventille West,2010,,Escallier AC School,,Belmont,BELMONT,111,0,81,0,,,,,,
Laventille West,2010,,Escallier AC School,,Belmont,BELMONT,120,0,91,0,,,,,,
Laventille West,2010,,St. Barb's Central Community Centre,,Belmont,BELMONT,326,0,57,0,,,,,,
Laventille West,2010,,St. Francois Girls College,,Belmont,BELMONT,263,0,66,0,,,,,,
Laventille West,2010,,St. Francois Girls College,,Belmont,BELMONT,222,0,49,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Escallier AC School,,Belmont,BELMONT,169,45,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Escallier AC School,,Belmont,BELMONT,135,28,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Carmel Forum,,Belmont,BELMONT,102,43,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,St. Martin's Girls Secondary School,,Belmont,BELMONT,70,39,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,St. Martin's Girls Secondary School,,Belmont,BELMONT,132,25,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Carmel Forum,,Belmont,BELMONT,95,23,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Carmel Forum,,Belmont,BELMONT,104,33,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Rosary Boys RC School,,Belmont,BELMONT,318,56,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,88,50,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,81,40,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,233,80,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,St. Martin's Girls Secondary School,,Belmont,BELMONT,129,34,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,St. Francois Girls College,,Belmont,BELMONT,232,81,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,St. Francois Girls College,,Belmont,BELMONT,267,95,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,93,42,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,80,37,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Boys Secondary School,,Belmont,BELMONT,91,69,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Secondary School,,Belmont,BELMONT,111,56,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Secondary School,,Belmont,BELMONT,102,47,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Melville Memorial Girls AC School,,Belmont,BELMONT,124,42,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Melville Memorial Girls AC School,,Belmont,BELMONT,114,49,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Girls RC School,,Belmont,BELMONT,180,76,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Girls RC School,,Belmont,BELMONT,127,54,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Girls RC School,,Belmont,BELMONT,97,82,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Girls RC School,,Belmont,BELMONT,98,112,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Secondary School,,Belmont,BELMONT,83,27,0,0,,,,,,
Port of Spain North / St. Ann's West,2010,,Belmont Secondary School,,Belmont,BELMONT,104,81,0,0,,,,,,
